USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0  21448   692 ?        Ss   Mar28   0:06 /sbin/init
root         2  0.0  0.0      0     0 ?        S    Mar28   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    Mar28   0:10 [migration/0]
root         4  0.0  0.0      0     0 ?        S    Mar28   0:25 [ksoftirqd/0]
root         5  0.0  0.0      0     0 ?        S    Mar28   0:00 [migration/0]
root         6  0.0  0.0      0     0 ?        S    Mar28   0:01 [watchdog/0]
root         7  0.0  0.0      0     0 ?        S    Mar28   0:04 [migration/1]
root         8  0.0  0.0      0     0 ?        S    Mar28   0:00 [migration/1]
root         9  0.0  0.0      0     0 ?        S    Mar28   0:12 [ksoftirqd/1]
root        10  0.0  0.0      0     0 ?        S    Mar28   0:01 [watchdog/1]
root        11  0.0  0.0      0     0 ?        S    Mar28   0:02 [migration/2]
root        12  0.0  0.0      0     0 ?        S    Mar28   0:00 [migration/2]
root        13  0.0  0.0      0     0 ?        S    Mar28   0:06 [ksoftirqd/2]
root        14  0.0  0.0      0     0 ?        S    Mar28   0:01 [watchdog/2]
root        15  0.0  0.0      0     0 ?        S    Mar28   0:04 [migration/3]
root        16  0.0  0.0      0     0 ?        S    Mar28   0:00 [migration/3]
root        17  0.0  0.0      0     0 ?        S    Mar28   0:04 [ksoftirqd/3]
root        18  0.0  0.0      0     0 ?        S    Mar28   0:01 [watchdog/3]
root        19  0.0  0.0      0     0 ?        S    Mar28   0:03 [migration/4]
root        20  0.0  0.0      0     0 ?        S    Mar28   0:00 [migration/4]
root        21  0.0  0.0      0     0 ?        S    Mar28   0:04 [ksoftirqd/4]
root        22  0.0  0.0      0     0 ?        S    Mar28   0:01 [watchdog/4]
root        23  0.0  0.0      0     0 ?        S    Mar28   0:08 [migration/5]
root        24  0.0  0.0      0     0 ?        S    Mar28   0:00 [migration/5]
root        25  0.0  0.0      0     0 ?        S    Mar28   0:06 [ksoftirqd/5]
root        26  0.0  0.0      0     0 ?        S    Mar28   0:01 [watchdog/5]
root        27  0.0  0.0      0     0 ?        S    Mar28   0:01 [migration/6]
root        28  0.0  0.0      0     0 ?        S    Mar28   0:00 [migration/6]
root        29  0.0  0.0      0     0 ?        S    Mar28   0:10 [ksoftirqd/6]
root        30  0.0  0.0      0     0 ?        S    Mar28   0:01 [watchdog/6]
root        31  0.0  0.0      0     0 ?        S    Mar28   0:01 [migration/7]
root        32  0.0  0.0      0     0 ?        S    Mar28   0:00 [migration/7]
root        33  0.0  0.0      0     0 ?        S    Mar28   0:07 [ksoftirqd/7]
root        34  0.0  0.0      0     0 ?        S    Mar28   0:01 [watchdog/7]
root        35  0.0  0.0      0     0 ?        S    Mar28   0:01 [migration/8]
root        36  0.0  0.0      0     0 ?        S    Mar28   0:00 [migration/8]
root        37  0.0  0.0      0     0 ?        S    Mar28   0:07 [ksoftirqd/8]
root        38  0.0  0.0      0     0 ?        S    Mar28   0:01 [watchdog/8]
root        39  0.0  0.0      0     0 ?        S    Mar28   0:00 [migration/9]
root        40  0.0  0.0      0     0 ?        S    Mar28   0:00 [migration/9]
root        41  0.0  0.0      0     0 ?        S    Mar28   0:03 [ksoftirqd/9]
root        42  0.0  0.0      0     0 ?        S    Mar28   0:01 [watchdog/9]
root        43  0.0  0.0      0     0 ?        S    Mar28   0:00 [migration/10]
root        44  0.0  0.0      0     0 ?        S    Mar28   0:00 [migration/10]
